file_name,CPU,label,is_packed,packer_info,packing_algorithm,UPX(3.94),UPX(3.95),UPX(4.02),Source,md5,family,first_seen,size
aa72177d55317527bd6797d759c152fad04e17ca03dc9bd0bc51a664b9f7c516,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
d7c09964d435245927240f723e1caeb9bc994f5d432d8210bf89837f197cce74,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
815b34297528bdc264a2c27589029be122c91bcfc3dd47026ec6f9e0fd08430b,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
810f0777ec44ebd1de98b99692f29aa828af57190a1153bcc149a25615c77810,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
712f60db10c57dc5bd6bc24a942602d399a3057b6db67bfa529562171e41d477,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
cd50a0a8abac6cabdcc92566e2cd9adb4ad3bf1f6d66a01b1acdbf8eb9946ffa,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
424eab146cf92a47b8a421b6d675fa22e757dfecb2e88b02dbee4093a0ccbe41,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
12dd4805d6b3e308ec5e8559455d19cc98485caa8152c0a71cfd0af9ebf5c17b,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
c84064a640c044d6027eeec05d78a1345e32d476cfdb7f1de58e666024954c3a,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
698f3be693f2ccafc918376cb6a1400899e943be35ad84409b7447582c6c56de,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
f3a74996b7ee19c41fd6708618bf6ea93c00d615b7e3bfa9b8ad2676d908d223,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
145e8fe76d3955026587c97ab68a4fcb33fe912cf0e8d52512226350c5b37c72,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
174885ce38196328e30bab19f25a3d2efc0b0136d17cb1a9d43320a7512935bb,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
1307c1ca5e8eb6e216d1e2c946a0fc424b6c7ec61439980d357d45222e331b42,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
3267dcf0c60f95276e0a64009de8dd3dec90a53e507b57e06e62591323a160fb,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
ddfa91ed15f9dae08fd55a15a366a59fdbe57272cba297ab185e4a443c812019,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
ff2ee7fef96bc620806716790035ed02e3b0cd5dffc6a0cd6dd189c858a98dde,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
27add6b71f3bbd5df9e9080a69be650d3174cfe72639cd3d8cb49a2fb4c7d7b8,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
dd2f06143cb8987cd75f6282a0b59d8964c6fbaf660c60c44dd8b64b7fc76939,Intel 80386,Benignware,0,,,1,1,1,Benign,,,,
